,id,name,transit,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,street,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,guests_included,extra_people,minimum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,check_in_24h,air_conditioning,high_end_electronics,bbq,balcony,nature_and_views,bed_linen,breakfast,tv,coffee_machine,cooking_basics,white_goods,elevator,gym,child_friendly,parking,outdoor_space,host_greeting,hot_tub_sauna_or_pool,internet,long_term_stays,pets_allowed,private_entrance,secure,self_check_in,smoking_allowed,accessible,event_suitable
2252,4137680,"LUXURY entire apt, steps to Central Park","Easy to get downtown on the 1/2/3 or B/C train. Bus access 1 street away. Walking distance from great shops, restaurants, pharmacies and grocery stores.",3507684,41160.0,within an hour,1.0,0.0,1.0,1.0,"New York, NY, United States",Manhattan,40.77607,-73.98035,Apartment,Entire home/apt,6,2.0,2,3,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""High chair"",""Children’s books and toys"",Crib,""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed""}",419,1,0,2,a week ago,1,0,7,10,10,10,6,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,strict_14_with_grace_period,1,1,0,0,0.47,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1
2274,4174115,Spacious Soho Loft,"There are many fun things to do right on our door step! Should you want to venture further, we are conveniently located near many transport alternatives: N,R line (0.1 miles) F,M,B,D (0.1 miles) 6 (0.1 miles) C,E line (0.3 miles) 1 line (0.4 miles) J,Z line (0.5 miles)",5739699,41366.0,within a day,0.75,0.0,2.0,1.0,"New York, NY, United States",Soho,40.7244,-73.99763,Apartment,Entire home/apt,6,1.0,2,2,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo}",500,4,25,3,31 months ago,1,0,0,0,0,3,0,93.0,10.0,9.0,9.0,9.0,10.0,7.0,0,strict_14_with_grace_period,1,1,0,0,0.05,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
2288,4199411,Greenwich Village Living!,,21787420,41907.0,,,0.0,1.0,1.0,"New York, NY, United States",Manhattan,40.73062,-73.99122,Apartment,Entire home/apt,2,1.0,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo}",350,1,0,2,58 months ago,1,0,0,0,0,0,0,,,,,,,,0,moderate,1,1,0,0,,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
2291,4204988,Charming Soho One Bedroom + Loft,"NQR, BDFM, 6, Taxis, buses ",1162642,40801.0,,,0.0,2.0,1.0,"New York, NY, United States",Manhattan,40.72577,-73.99337,Apartment,Entire home/apt,4,1.0,1,2,Real Bed,{},350,1,0,2,45 months ago,1,0,0,0,0,0,0,,,,,,,,0,flexible,2,1,1,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2294,4209106,Bright Private Apartment w/ Manhattan Views,"2 short blocks to the C train. Lafayette stop.  A few more blocks to the G train, or the transportation hub at Atlantic- Barclays Center.  Buses right outside front door.",4218058,41235.0,,,0.0,2.0,1.0,"Brooklyn, NY, United States",Brooklyn,40.68526,-73.97154,Apartment,Entire home/apt,3,1.0,1,2,Real Bed,"{Wifi,""Air conditioning"",Kitchen,Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens""}",500,2,75,7,10 months ago,1,24,54,84,173,11,1,87.0,10.0,8.0,9.0,9.0,9.0,9.0,0,strict_14_with_grace_period,2,1,1,0,0.2,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
2347,4294969,Welcome to my home,,4473916,41266.0,,,0.0,1.0,1.0,"New York, NY, United States",Manhattan,40.73175,-73.99518,Apartment,Entire home/apt,4,1.0,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo}",450,1,0,1,48 months ago,1,0,0,0,0,1,0,80.0,10.0,10.0,8.0,10.0,10.0,10.0,0,flexible,1,1,0,0,0.02,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
2355,4331684,Modern 2-Bed Apt.- Great Location!,Parking available down the street Subway stations few blocks away (Penn Station..),22487371,41925.0,,,0.0,1.0,1.0,"New York, NY, United States",Hell's Kitchen,40.75579,-73.99154,Apartment,Entire home/apt,4,2.0,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Gym,Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo}",375,1,0,3,5 months ago,1,0,0,0,0,13,0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,0,flexible,1,1,0,0,0.23,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1
2380,4364924,Pre-War Gem in the heart of the UWS,1 minute walk to the subway,22657141,41929.0,,,0.0,1.0,1.0,"New York, NY, United States",Upper West Side,40.77859,-73.9816,Apartment,Entire home/apt,2,1.0,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,Doorman,Elevator,Heating,""Smoke detector"",""Carbon monoxide detector""}",350,1,0,4,57 months ago,1,0,0,0,0,0,0,,,,,,,,0,strict_14_with_grace_period,1,1,0,0,,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
2417,4417147,New year in New York City,"Public buses, subways.taxi ",22927481,41936.0,,,0.0,3.0,1.0,"New York, NY, United States",Manhattan,40.76564,-73.98013,Other,Private room,4,2.0,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Shampoo}",425,1,0,7,31 months ago,1,0,0,0,0,1,0,100.0,6.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,3,0,3,0,0.02,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1
2426,4428906,Family Friendly Park Slope House,We are a short walk to the R train (Prospect Avenue) or the F/G train (7th Avenue or 15th Street). ,2119928,41010.0,within an hour,0.8,0.0,1.0,1.0,"Brooklyn, NY, United States",Brooklyn,40.66421,-73.98706,Townhouse,Entire home/apt,8,2.0,3,6,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Private living room"",""High chair"",""Children’s books and toys"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Other}",380,5,20,4,5 days ago,1,9,18,18,62,7,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,1,1,0,0,0.12,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1
2445,4447611,1 BR in Gramercy Park,,10471097,41614.0,,,0.0,1.0,1.0,"New York, NY, United States",Manhattan,40.73577,-73.98455,Apartment,Entire home/apt,2,1.0,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,Heating}",350,1,0,1,43 months ago,1,0,0,0,0,0,0,,,,,,,,0,flexible,1,1,0,0,,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
2515,4537389,New Years In New York City,"Subway is one block, Bus stop is at 55 street and 7 Ave, doorman can hale you a taxi right in front of building, side walks are wide for great walking & bike rental all over NYC",22927481,41936.0,,,0.0,3.0,1.0,"New York, NY, United States",Manhattan,40.76377,-73.98103,Other,Private room,4,2.0,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo}",400,1,0,3,44 months ago,1,0,0,0,0,0,0,,,,,,,,0,flexible,3,0,3,0,,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1
2539,4566571,Penthouse loft with private patio,"The apartment is located by Bryant Park, in between Times Square and Grand Central Station. All subway lines are within walking distance, which makes it super easy to get around!",3814458,41191.0,,,0.0,1.0,1.0,"New York, NY, United States",Manhattan,40.75186,-73.98557,Apartment,Entire home/apt,10,1.5,5,5,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",450,1,0,3,41 months ago,1,0,0,0,0,12,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,1,1,0,0,0.23,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,1
2557,4587321,Bright 3 bdrm in East Village,,23778946,41958.0,,,0.0,1.0,1.0,"New York, NY, United States",Manhattan,40.7252299999999,-73.97999,Apartment,Entire home/apt,6,1.0,3,3,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Gym,Elevator,Heating,Washer,Dryer,Essentials}",400,1,0,3,43 months ago,1,0,0,0,0,1,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,1,1,0,0,0.02,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
2558,4587905,New 2 br Apt Williamsburg,"Bus stops are just 50 meters away, and you can easily access the G and the L trains by walking 5-7 minutes.",3693416,41179.0,,,0.0,1.0,0.0,"Brooklyn, NY, United States",Brooklyn,40.72214,-73.94835,Apartment,Entire home/apt,4,1.0,2,2,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Elevator,Heating,Washer,Dryer,""Safety card"",Essentials}",450,1,0,1,56 months ago,1,0,0,0,0,0,0,,,,,,,,0,flexible,1,1,0,0,,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1
2573,4611004,Christmas Harlem! Duplex,Many buses and express/local train,626876,40688.0,,,0.0,3.0,1.0,"New York, NY, United States",Manhattan,40.8365299999999,-73.94277,Apartment,Entire home/apt,4,1.0,1,2,Real Bed,"{TV,Internet,Wifi,Kitchen,Heating,""Family/kid friendly""}",350,1,0,3,47 months ago,1,0,0,0,0,0,0,,,,,,,,0,moderate,3,1,2,0,,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
2581,4615887,Lofted duplex in Kips Bay,"Access to both buses and subway lines!  Building is also attached to a parking lot with reasonable rates (by NYC standards :)).  Many options for the airport (flat rate taxi, shared van services, shared private buses).",23073152,41940.0,,,0.0,1.0,0.0,"New York, NY, United States",Manhattan,40.7396,-73.98228,Apartment,Entire home/apt,4,1.0,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo}",350,1,0,2,36 months ago,1,0,0,0,0,0,0,,,,,,,,0,moderate,1,1,0,0,,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1
2585,4619579,One bedroom loft in West Village ,,23929065,41962.0,,,0.0,1.0,0.0,"New York, NY, United States",West Village,40.73173,-74.00904,Apartment,Entire home/apt,3,1.0,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials}",450,1,0,3,56 months ago,1,0,0,0,0,0,0,,,,,,,,0,strict_14_with_grace_period,1,1,0,0,,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
2595,4624657,Modern Duplex with yard  in Bedstuy,"We are just a few blocks from the Express (A) Train to the city, usually about 25 minutes.  Puerto Rico Car Service is a good for getting around Brooklyn.  Or of course Uber.",23952819,41962.0,within a day,0.7,0.0,2.0,1.0,"Brooklyn, NY, United States",Bedford-Stuyvesant,40.68589,-73.9328599999999,Townhouse,Entire home/apt,2,1.0,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo}",500,1,0,1,2 months ago,1,27,57,87,362,1,0,100.0,10.0,10.0,10.0,10.0,8.0,10.0,0,strict_14_with_grace_period,2,2,0,0,0.02,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
2616,4644688,2 Bedroom New York Charmer,"This apartment is in one of the best locations! Most of the things you will want to see are within a few blocks walking distance. If you do need to take public transit, you will be close to the A, C , E, 1, 2, 3, N, Q and R trains. Whether you are coming from one of the airports, Penn Station or Grand Central, this apartment is easy to access!",16927633,41807.0,,,0.0,1.0,0.0,"New York, NY, United States",Midtown,40.76198,-73.98718,Apartment,Entire home/apt,4,1.0,2,2,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Pets allowed"",""Pets live on this property"",Dog(s),""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Safety card"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron}",350,4,0,2,34 months ago,1,0,0,0,0,9,0,98.0,10.0,9.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,1,1,0,0,0.21,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1
2638,4677056,"1,200 sq/ft loft +private backyard ",,10476487,41614.0,within a day,0.5,0.0,1.0,1.0,"New York, NY, United States",Manhattan,40.72632,-74.00749,Apartment,Entire home/apt,3,1.0,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Pets allowed"",Heating,""Family/kid friendly"",""Smoke detector"",Essentials,Shampoo}",385,2,60,3,19 months ago,1,30,60,90,365,1,0,40.0,4.0,2.0,8.0,10.0,8.0,6.0,0,strict_14_with_grace_period,1,1,0,0,0.02,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1
2686,4720121,Luxurious Upper East Side Duplex,,34915,40055.0,,,0.0,1.0,0.0,"New York, NY, United States",Manhattan,40.77169,-73.95583,Apartment,Entire home/apt,5,2.5,2,3,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Elevator,""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Essentials,Shampoo,""Host greets you""}",500,1,0,7,13 months ago,1,0,0,0,0,0,0,,,,,,,,0,moderate,1,1,0,0,,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
2711,4736480,Upper East Side Apatments,,4568686,41277.0,,,0.0,1.0,0.0,"New York, NY, United States",Manhattan,40.77556,-73.95245,Apartment,Entire home/apt,5,1.0,2,2,Real Bed,{},375,1,0,4,56 months ago,1,0,0,0,0,0,0,,,,,,,,0,flexible,1,1,0,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2932,4908978,"1BR in Murray Hill, E 26th & 2nd Ave (30 DAYS MIN)","The 6, N, R and W subway lines are few steps away",23772724,41958.0,within an hour,1.0,0.0,16.0,1.0,"New York, NY, United States",Hell's Kitchen,40.76102,-73.9888199999999,Apartment,Entire home/apt,4,1.0,1,4,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",Oven,Stove,""Garden or backyard"",""Long term stays allowed"",""Host greets you""}",380,3,15,30,2 days ago,1,0,27,57,332,5,0,84.0,9.0,9.0,8.0,8.0,10.0,8.0,0,strict_14_with_grace_period,15,15,0,0,0.11,1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1
2959,4967114,Beautiful One Bedroom Apartment,,25605887,42008.0,,,0.0,1.0,0.0,"New York, NY, United States",Hell's Kitchen,40.7666,-73.98475,Apartment,Entire home/apt,2,1.0,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",Essentials,Shampoo}",450,1,0,1,55 months ago,1,0,0,0,0,0,0,,,,,,,,0,flexible,1,1,0,0,,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
2974,4996877,"Awesome, Sunny Loft - Two Floors!",,317718,40525.0,within a day,0.5,0.0,1.0,0.0,"Brooklyn, NY, United States",Brooklyn,40.72514,-73.95392,Apartment,Entire home/apt,6,1.0,3,3,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials}",380,1,0,4,4 months ago,1,27,57,87,177,0,0,,,,,,,,0,moderate,1,1,0,0,,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
2979,5013302,Best location & Amazing view / Apt in Tribeca,"Very close to Subway lines A, C, E (Five blocks) and lines 1, 2, 3 (Two blocks away)  CitiBike docking station around the corner",10207681,41601.0,within a few hours,1.0,0.0,1.0,1.0,"New York, NY, United States",Tribeca,40.71732,-74.00981,Apartment,Entire home/apt,6,1.0,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,""Pets live on this property"",Dog(s),Elevator,""Free street parking"",""Hot tub"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",Bathtub,""Babysitter recommendations"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Luggage dropoff allowed"",""Wide hallways"",""No stairs or steps to enter"",""Wide entrance for guests"",""Flat path to guest entrance"",""Well-lit path to entrance"",""No stairs or steps to enter"",""Wide entrance"",""Extra space around bed"",""Accessible-height bed"",""No stairs or steps to enter"",""Wide doorway to guest bathroom"",""Accessible-height toilet"",""No stairs or steps to enter"",""Wide entryway"",Waterfront,""Paid parking on premises""}",350,2,35,3,7 weeks ago,1,3,11,22,69,13,5,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,1,1,0,0,0.36,-1,1,-1,-1,1,1,-1,-1,1,-1,1,1,1,-1,1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,1,-1
2988,5031539,GORGEOUS 1BR IN MIDTOWN 1/15-1/19,,25974544,42016.0,,,0.0,1.0,0.0,"New York, NY, United States",Manhattan,40.76263,-73.9887,Apartment,Entire home/apt,4,1.0,1,1,Real Bed,"{""Cable TV"",Wifi,""Buzzer/wireless intercom"",Heating,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials}",350,2,100,1,36 months ago,1,0,0,0,0,0,0,,,,,,,,0,strict_14_with_grace_period,1,1,0,0,,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
2996,5049823,NYC New Years Penthouse suite,"1 blk to subway, Taxi's, public buses,Manhattan is known as one of the best walking city's in the world",22927481,41936.0,,,0.0,3.0,1.0,"New York, NY, United States",Midtown,40.7655,-73.98018,Other,Private room,4,2.0,1,1,Real Bed,{},500,1,0,3,32 months ago,1,0,0,0,0,1,0,,,,,,,,0,flexible,3,0,3,0,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3014,5078828,Lovely Victorian Brooklyn 6BR Home,"The Q and B trains are right around the corner, about 6 blocks away, and take you to Manhattan in about 30 minutes. ",3196390,41129.0,,,0.0,1.0,0.0,"Brooklyn, NY, United States",Brooklyn,40.63854,-73.95814,House,Entire home/apt,11,3.5,6,6,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo}",415,1,0,4,35 months ago,1,0,0,0,0,3,0,93.0,10.0,9.0,10.0,10.0,9.0,10.0,0,strict_14_with_grace_period,1,1,0,0,0.06,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
3045,5161173,3BDR architect's garden home,,1027417,40782.0,within a few hours,1.0,0.0,1.0,1.0,"Brooklyn, NY, United States",Park Slope,40.67365,-73.9814,Townhouse,Entire home/apt,7,2.5,3,3,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Hot tub"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""High chair"",""Children’s books and toys"",Crib,""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed""}",350,1,0,3,3 months ago,1,0,7,7,22,5,2,100.0,10.0,10.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,1,1,0,0,0.12,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1
3102,5279902,Mod. Apartment NYC w/ Outdoor Space,All.,7181834,41454.0,,,0.0,1.0,1.0,"New York, NY, United States",Flatiron District,40.7386099999999,-73.9948199999999,Apartment,Entire home/apt,2,1.0,1,1,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo}",400,1,0,1,40 months ago,1,0,0,0,0,0,0,,,,,,,,0,flexible,1,1,0,0,,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1
3163,5402672,Luxurious 1BR/1.5Bath Park Ave Apt,"Close to Grand Central Station, Penn Station/AmTrak, Airport Shuttles, NYC Subways, Empire State Building, Times Square, Broadway Shows, Rockefeller Center, United Nations, Madison Square Park.....",28005408,42054.0,within a day,1.0,0.0,1.0,1.0,"New York, NY, United States",Midtown,40.74746,-73.97883,Apartment,Entire home/apt,3,1.5,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Gym,Elevator,""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",499,1,0,30,14 months ago,1,29,59,89,364,4,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,1,1,0,0,0.09,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1
